Elapsed_Time(s),Target_X,Target_Y,Error_X,Error_Y,PWM_X,PWM_Y
3.81281,309.979,214.757,-10.0213,14.7573,1803.19,1572.69
3.83065,311.048,215.137,-8.95239,15.1373,1807.19,1566.65
3.84653,311.855,214.974,-8.14493,14.9739,1811.19,1561.07
3.86395,312.325,215.312,-7.67453,15.3123,1815.19,1554.98
3.87949,313.044,213.282,-6.95587,13.2819,1819.19,1551.61
3.89732,314.258,211.659,-5.74185,11.6591,1823.19,1548.34
3.9128,315.871,211.548,-4.12921,11.5478,1818.36,1544.03
3.93053,316.794,211.01,-3.20572,11.0104,1818.36,1540.22
3.94614,317.617,211.095,-2.38345,11.0952,1818.36,1535.91
3.96386,317.86,213.546,-2.14035,13.5464,1818.36,1528.94
3.97936,317.5,214,-2.5,14,1818.36,1523.22
3.99722,317.066,212.392,-2.93384,12.3922,1818.36,1519.66
4.01269,316.9,213.158,-3.09976,13.1582,1818.36,1513.99
4.03056,316.758,211.714,-3.24179,11.7136,1818.36,1510.57
4.04766,316.466,211.231,-3.53384,11.2306,1818.36,1506.65
4.06397,316.113,213.199,-3.8873,13.199,1818.36,1500.04
4.07937,315.982,212.129,-4.0184,12.1287,1818.36,1496.31
4.09731,315.96,211.461,-4.04019,11.461,1818.36,1492.41
4.11277,315.934,212.524,-4.06577,12.5238,1818.36,1486.73
4.13066,315.988,213.322,-4.01151,13.3218,1818.36,1481.06
4.14606,315.957,213.16,-4.04337,13.1598,1818.36,1476.17
4.16383,315.907,213.871,-4.09332,13.8711,1818.36,1470.35
4.17931,315.957,214.23,-4.04279,14.2297,1818.36,1464.61
4.19722,316.055,211.484,-3.94513,11.4837,1818.36,1461.81
4.21265,316.525,208.815,-3.47455,8.81482,1818.36,1459.01
4.23055,316.748,208.167,-3.25232,8.16667,1818.36,1456.21
4.246,316.806,207.5,-3.19446,7.5,1818.36,1453.41
4.26394,316.938,206.591,-3.06238,6.5914,1818.36,1450.61
4.27933,317.024,208.024,-2.97571,8.02428,1818.36,1446.32
4.29732,317.218,208.741,-2.78152,8.741,1818.36,1442.46
4.31268,317.782,207.159,-2.21768,7.15874,1818.36,1439.66
4.33057,317.887,208.043,-2.11255,8.04329,1818.36,1435.93
4.34602,318.132,208.805,-1.86801,8.80537,1818.36,1431.92
4.36386,318.499,207.608,-1.5011,7.60785,1818.36,1429.12
4.3793,318.706,208.242,-1.29413,8.24184,1818.36,1425.42
4.39724,318.893,208.558,-1.10699,8.55762,1818.36,1421.91
4.41271,319.036,207.915,-0.963898,7.91507,1818.36,1419.11
4.43112,319.454,207.209,-0.546417,7.20886,1818.36,1416.31
4.44605,319.821,206.667,-0.179321,6.66667,1818.36,1413.51
4.46407,319.915,206.526,-0.0848999,6.52588,1818.36,1410.71
4.47934,320.257,205.741,0.256897,5.74098,1818.36,1407.91
4.49716,320.683,205.501,0.683014,5.50102,1818.36,1405.11
4.51271,320.893,205.558,0.893005,5.55762,1818.36,1402.31
4.53057,320.975,205.006,0.975311,5.00618,1818.36,1406.36
4.54598,321.298,204.536,1.29813,4.53622,1818.36,1406.36
4.56393,321.595,204.417,1.59482,4.41716,1818.36,1406.36
4.57931,321.874,204.663,1.87448,4.66255,1818.36,1406.36
4.59727,321.963,204.588,1.96295,4.58847,1818.36,1406.36
4.61267,322.14,206.112,2.13971,6.11177,1818.36,1398.87
4.63158,322.48,207.359,2.48038,7.35883,1818.36,1395.21
4.64988,322.665,207.927,2.6647,7.92702,1818.36,1391.78
4.66442,322.863,209.231,2.86273,9.23137,1818.36,1387.1
4.67936,323.107,207.998,3.10721,7.99805,1818.36,1384.3
4.69729,323.528,205.493,3.52826,5.49318,1818.36,1390.1
4.71274,323.742,204.314,3.74182,4.31407,1818.36,1390.1
4.73059,324.262,202.076,4.26151,2.0755,1818.36,1390.1
4.74605,324.556,200.674,4.55621,0.674423,1818.36,1390.1
4.76416,324.722,201.225,4.72189,1.22476,1818.36,1390.1
4.7794,325.24,202.914,5.24023,2.91434,1818.36,1390.1
4.79729,325.573,203.657,5.57251,3.65726,1812.19,1390.1
